[Tue Apr 18 20:47:25 2023] ThreadID[33560]	Started game.
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[MESSAGE]	Begin Reading Game Level Text File.
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Water
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -29.782400 Y -2.577700 Z 0.000000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.001
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 18.622499 Y 0.843700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.002
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 9.930300 Y 0.843700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.003
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 12.847700 Y 0.843700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.004
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 4.188000 Y 0.843700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.005
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 15.705000 Y 0.843700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.006
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 7.105400 Y 0.843700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.007
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -1.586800 Y 0.843700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.008
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X 1.330700 Y 0.843700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.009
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -7.351200 Y 0.843700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.010
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -4.433800 Y 0.843700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall.011
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -13.125900 Y 0.843700 Z -10.057000
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Model Detected: Decorative_Wall
[Tue Apr 18 20:47:25 2023] ThreadID[33560]	[INFO]	Location: X -10.208500 Y 0.843700 Z -10.057000
